x_value,total_1,total_2,total_3
0,1000,1000,1000
1,999,1000,1004
2,997,1000,1010
3,1002,1006,1010
4,1004,1005,1012
5,1004,1010,1014
6,1005,1005,1011
7,1003,1005,1012
8,1003,1005,1019
9,1003,1006,1019
10,997,1006,1017
11,1003,1006,1020
12,1006,1001,1020
13,1010,1002,1017
14,1012,1000,1017
15,1010,1000,1022
16,1006,1001,1018
17,1003,997,1020
18,1009,997,1024
19,1015,998,1021
20,1013,994,1027
21,1021,991,1025
22,1022,995,1031
23,1030,999,1028
24,1028,1004,1031
25,1027,1002,1038
26,1029,1005,1038
27,1030,1009,1034
28,1030,1012,1032
29,1038,1018,1028
30,1032,1013,1032
31,1032,1013,1034
32,1026,1013,1037
33,1032,1010,1039
34,1037,1011,1043
35,1042,1011,1039
36,1048,1013,1036
37,1050,1014,1032
38,1057,1015,1028
39,1054,1018,1029
40,1060,1016,1028
41,1055,1021,1024
42,1063,1016,1028
43,1070,1022,1029
44,1072,1021,1028
45,1079,1019,1027
46,1082,1020,1031
47,1088,1021,1034
48,1082,1023,1032
49,1079,1027,1030
50,1073,1030,1035
51,1075,1034,1039
52,1075,1031,1038
53,1070,1030,1037
54,1069,1027,1036
55,1074,1032,1039
56,1082,1030,1044
57,1078,1026,1051
58,1075,1021,1049
59,1083,1026,1053
60,1079,1021,1052
61,1075,1021,1052
62,1078,1019,1057
63,1079,1014,1055
64,1075,1015,1053
65,1074,1013,1060
66,1075,1014,1064
67,1073,1020,1062
68,1071,1023,1062
69,1065,1022,1064
70,1067,1027,1064
71,1065,1028,1065
72,1060,1029,1063
73,1059,1027,1059
74,1059,1029,1055
75,1067,1031,1055
76,1072,1031,1053
77,1073,1037,1055
78,1081,1041,1055
79,1084,1047,1058
80,1084,1053,1063
81,1086,1059,1069
82,1087,1059,1075
83,1083,1061,1072
84,1077,1060,1075
85,1082,1061,1081
86,1081,1059,1085
87,1083,1062,1084
88,1089,1068,1087
89,1096,1074,1091
90,1104,1069,1087
91,1104,1066,1094
92,1098,1066,1099
93,1105,1063,1102
94,1101,1068,1101
95,1100,1067,1104
96,1099,1069,1111
97,1099,1066,1115
98,1098,1066,1115
99,1104,1063,1114
100,1103,1060,1113
101,1102,1065,1114
102,1108,1061,1117
103,1114,1062,1114
104,1114,1059,1119
105,1120,1061,1120
106,1124,1056,1124
107,1132,1055,1126
108,1135,1053,1131
109,1142,1059,1138
110,1144,1058,1143
111,1152,1053,1149
112,1146,1048,1146
113,1149,1044,1144
114,1154,1046,1147
115,1149,1041,1147
116,1152,1039,1145
117,1147,1044,1146
118,1143,1044,1145
119,1149,1039,1145
120,1148,1042,1144
121,1156,1048,1144
122,1164,1054,1147
123,1163,1050,1146
124,1164,1055,1147
125,1169,1059,1149
126,1172,1057,1150
127,1171,1060,1149
128,1165,1066,1152
129,1172,1067,1149
130,1169,1065,1145
131,1168,1060,1147
132,1173,1058,1152
133,1170,1053,1155
134,1165,1054,1155
135,1160,1050,1154
136,1165,1051,1150
137,1173,1051,1150
138,1167,1053,1156
139,1174,1051,1154
140,1178,1048,1161
141,1186,1043,1159
142,1193,1046,1156
143,1197,1047,1158
144,1202,1043,1156
145,1202,1049,1156
146,1210,1048,1154
147,1206,1049,1156
148,1206,1050,1163
149,1206,1047,1159
150,1203,1050,1158
151,1210,1054,1163
152,1212,1056,1166
153,1209,1058,1169
154,1215,1056,1168
155,1215,1051,1164
156,1211,1055,1160
157,1219,1056,1159
158,1223,1056,1162
159,1219,1055,1158
160,1227,1053,1156
161,1235,1056,1160
162,1229,1060,1161
163,1234,1055,1160
164,1232,1061,1167
165,1236,1066,1166
166,1242,1064,1163
167,1247,1060,1167
168,1253,1056,1169
169,1260,1054,1165
170,1262,1060,1169
171,1260,1064,1165
172,1262,1068,1169
173,1259,1068,1171
174,1266,1068,1172
175,1266,1067,1171
176,1267,1065,1173
177,1267,1071,1172
178,1274,1066,1170
179,1270,1070,1168
180,1275,1074,1165
181,1282,1078,1162
182,1276,1073,1163
183,1271,1072,1166
184,1266,1072,1168
185,1261,1075,1174
186,1261,1070,1170
187,1266,1068,1175
188,1271,1069,1175
189,1276,1075,1174
190,1280,1070,1173
191,1276,1069,1171
192,1276,1066,1178
193,1282,1065,1184
194,1282,1066,1185
195,1286,1070,1184
196,1282,1066,1180
197,1279,1069,1179
198,1285,1073,1176
199,1285,1070,1179
200,1284,1069,1175
201,1281,1066,1177
202,1276,1065,1181
203,1280,1071,1181
204,1275,1073,1187
205,1279,1074,1186
206,1274,1076,1191
207,1282,1076,1195
208,1282,1076,1191
209,1284,1074,1191
210,1279,1069,1192
211,1274,1074,1192
212,1269,1073,1198
213,1267,1073,1201
214,1262,1075,1205
215,1256,1078,1203
216,1258,1077,1202
